race,VER,HAM,BOT,PER,NOR,LEC,SAI,RIC,GAS,ALO,OCO,VET,STR,TSU,RUS,RAI,LAT,GIO,SCH,KUB,MAZ
BHR,2,1,3F,5,4,6,8,7,17,DNF,13,15,10,9,14,11,18,12,16,DNF,DNF
EMI,1,2F,DNF,11,3,4,5,6,7,10,9,15,8,12,DNF,13,DNF,14,16,DNF,17
POR,2,1,3F,4,5,6,11,9,10,8,7,13,14,15,16,DNF,18,12,17,DNF,19
ESP,2F,1,3,5,8,4,7,6,10,17,9,13,11,DNF,14,12,16,15,18,DNF,19
MON,1,7F,DNF,4,3,DNF,2,12,6,13,9,5,8,16,14,11,15,10,18,DNF,17
AZE,18F,15,12,1,5,4,8,9,3,6,DNF,2,DNF,7,17,10,16,11,13,DNF,14
FRA,1F,2,4,3,5,16,11,6,7,8,14,9,10,13,12,17,18,15,19,DNF,20
STY,1,2F,3,4,5,7,6,13,DNF,9,14,12,8,10,DNF,11,17,15,16,DNF,18
AUT,1F,4,2,6,3,8,5,7,9,10,DNF,17,13,12,11,15,16,14,18,DNF,19
GBR,DNFSF,1SS,3ST,16F,4,2,6,5,11,7,9,DNF,8,10,12,15,14,13,18,DNF,17
HUN,9,2,DNF,DNF,DNF,DNF,3,11,5F,4,1,DNF,DNF,6,8,10,7,13,12,DNF,DNF
BEL,1H,3H,12H,19H,14H,8H,10H,4H,6H,11H,7H,5H,20H,15H,2H,18H,9H,13H,16H,DNF,17H
NED,1,2F,3,8,10,5,7,11,4,6,9,13,12,DNF,17,DNF,16,14,18,15,DNF
ITA,DNFSS,DNF,3SF,5,2,4,6,1FSS,DNF,8,10,12,7,DNF,9,DNF,11,13,15,14,DNF
RUS,2,1,5,9,7F,15,3,4,13,6,14,12,11,17,10,8,19,16,DNF,DNF,18
TUR,2,5,1F,3,7,4,8,13,6,16,10,18,9,14,15,12,17,11,19,DNF,20
USA,1,2F,6,3,8,4,7,5,DNF,DNF,DNF,10,12,9,14,13,15,11,16,DNF,17
MXC,1,2,15F,3,10,5,6,12,4,9,13,7,14,DNF,16,8,17,11,DNF,DNF,18
