race,44,77,33,3,11,16,4,55,23,10,18,31,5,26,27,7,99,8,20,6,63
AUT,4,1,DNF,DNF,6,2,3F,5,13,7,DNF,8,10,12,DNF,DNF,9,DNF,DNF,11,DNF
STY,1,2,3,8,6,DNF,5,9F,4,15,7,DNF,DNF,10,DNF,11,14,13,12,17,16
HUN,1F,3,2,8,7,11,13,9,5,DNF,4,14,6,12,DNF,15,17,16,10,19,18
GBR,1,11,2F,4,DNF,3,5,13,8,7,9,6,10,DNF,DNF,17,14,16,DNF,15,12
70A,2F,3,1,14,DNF,4,9,13,5,11,6,8,12,10,7,15,17,16,DNF,19,18
ESP,1,3F,2,11,5,DNF,10,6,8,9,4,13,7,12,DNF,14,16,19,15,18,17
BEL,1,2,3,4F,10,14,7,DNF,6,8,9,5,13,11,DNF,12,DNF,15,17,16,DNF
ITA,7F,5,DNF,6,10,DNF,4,2,15,1,3,8,DNF,9,DNF,13,16,12,DNF,11,14
TUS,1F,2,DNF,4,5,8,6,DNF,3,DNF,DNF,DNF,10,7,DNF,9,DNF,12,DNF,DNF,11
RUS,3,1F,2,5,4,6,15,DNF,10,9,DNF,7,13,8,DNF,14,11,17,12,16,18
EIF,1,DNF,2F,3,4,7,DNF,5,DNF,6,DNF,DNF,11,15,8,12,10,9,13,14,DNF
POR,1F,2,3,9,7,4,13,6,12,5,DNF,8,10,19,DNF,11,15,17,16,18,14
EMI,1F,2,DNF,3,6,5,8,7,15,DNF,13,DNF,12,4,DNF,9,10,14,DNF,11,DNF
TUR,1,14,6,10,2,4,8F,5,7,13,9,11,3,12,DNF,15,DNF,DNF,17,DNF,16
BHR,1,8,2F,7,18,10,4,5,3,6,DNF,9,13,11,DNF,15,16,DNF,17,14,12
